[2026-07-01 07:38:25] unknown | execute_code_local | exit=1 cmd=cd /root/.emacs.d && grep -rl "output_sanitizer\|sanitize" test/ 2>/dev/null
[2026-07-01 07:39:23] unknown | execute_code_local | exit=0 cmd=cd /root/.emacs.d && ls test/test-sanitiz* test/test-output* 2>/dev/null; echo "---"; grep -rl "sanitize\|output_sanitizer" test/ 2>/dev/null || echo "no matches"
[2026-07-01 07:39:35] unknown | execute_code_local | exit=1 cmd=cd /root/.emacs.d && grep "^defun\|^defconst\|^defvar" init.d/output_sanitizer.el
[2026-07-01 07:39:41] unknown | execute_code_local | exit=0 cmd=cd /root/.emacs.d && grep -n "defun\|defconst\|defvar\|defcustom" init.d/output_sanitizer.el
[2026-07-01 07:40:48] darwin | write_file | /root/.emacs.d/test/test-sanitizer.el
[2026-07-01 07:41:01] unknown | execute_code_local | exit=0 cmd=echo 'hello world' | tr a-z A-Z
[2026-07-01 07:41:01] unknown | execute_code_local | exit=0 cmd=echo hello
[2026-07-01 07:41:01] unknown | execute_code_local | exit=0 cmd=echo $TEST_VAR
[2026-07-01 07:41:01] unknown | execute_code_local | exit=42 cmd=exit 42
[2026-07-01 07:41:01] unknown | execute_code_local | exit=0 cmd=echo line1; echo line2
[2026-07-01 07:41:01] unknown | execute_code_local | exit=0 cmd=true
[2026-07-01 07:41:01] unknown | execute_code_local | exit=0 cmd=echo errormsg >&2
[2026-07-01 07:41:03] unknown | execute_code_local | exit=9 cmd=sleep 10
[2026-07-01 07:41:04] unknown | append_file | /tmp/test-fs-6f9FDT/hello.txt
[2026-07-01 07:41:04] unknown | append_file | /tmp/test-fs-KnFpqR/new-append.txt
[2026-07-01 07:41:04] unknown | append_file | /tmp/test-fs-duxVoo/hello.txt
[2026-07-01 07:41:04] unknown | append_file | /tmp/test-fs-PxWC0I/nonewline.txt
[2026-07-01 07:41:04] unknown | append_file | /tmp/test-fs-37MQxT/empty.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-fs-9dY768/ml.txt
[2026-07-01 07:41:04] unknown | replace_in_file | /tmp/test-fs-9dY768/ml.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-fs-mUI87F/replace2.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-fs-r54JYy/replace.txt
[2026-07-01 07:41:04] unknown | replace_in_file | /tmp/test-fs-r54JYy/replace.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-fs-nM7feP/ws.txt
[2026-07-01 07:41:04] unknown | replace_in_file | /tmp/test-fs-nM7feP/ws.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-fs-ltiq6C/unicode.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-fs-ANB5SU/rt2.txt
[2026-07-01 07:41:04] unknown | append_file | /tmp/test-fs-ANB5SU/rt2.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-fs-W52bXr/roundtrip.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-fs-FcAA9Z/new.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-fs-Lc6lmZ/deep/nested/path/file.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-fs-DnvOcr/blank.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-fs-XuYphW/hello.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-replace-GziA16/delete.txt
[2026-07-01 07:41:04] unknown | replace_in_file | /tmp/test-replace-GziA16/delete.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-replace-uV3EwP/multi.txt
[2026-07-01 07:41:04] unknown | replace_in_file | /tmp/test-replace-uV3EwP/multi.txt
[2026-07-01 07:41:04] unknown | write_file | /tmp/test-replace-vgVjYE/large.txt
